Work item id,Summary,Description,Issue Type,Priority,Status,Resolution,Labels,Labels,Labels,Component,Component,Parent,Reporter,Created
"HC-EPIC-01","Merchant onboarding & KYC verification","Enable new B2B merchants to register, submit business documents, and pass automated KYC before accepting payments. Target: reduce time-to-first-transaction from 5 days to under 24 hours.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","","Sarah Chen","15/01/25 10:00"
"HC-EPIC-02","Checkout, payments & settlement","Unified checkout experience supporting cards, ACH, and invoice billing with automated settlement reporting and reconciliation hooks for finance teams.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","","Marcus Webb","16/01/25 10:00"
"HC-EPIC-03","Order management & fulfillment","End-to-end order lifecycle: cart, payment capture, fulfillment status, refunds, and partial shipments for multi-warehouse merchants.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","","Priya Nair","17/01/25 10:00"
"HC-EPIC-04","Catalog, inventory & pricing","Product catalog with variants, tiered B2B pricing, stock reservations, and low-stock alerts integrated with ERP exports.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","","James Okafor","18/01/25 10:00"
"HC-EPIC-05","Merchant analytics dashboard","Self-serve analytics for GMV, conversion, payment failures, and cohort retention with exportable CSV and scheduled email reports.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-05","Frontend","Data","","Elena Vasquez","19/01/25 10:00"
"HC-EPIC-06","Public API & developer platform","REST and webhook APIs for orders, payments, and catalog with OAuth apps, sandbox environments, and rate limiting.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-06","API","Backend","","Tom Bradley","20/01/25 10:00"
"HC-EPIC-07","Security, fraud & compliance","PCI scope reduction, fraud scoring, audit logging, SOC2 controls, and GDPR data subject request tooling.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-07","Security","Backend","","Sarah Chen","21/01/25 10:00"
"HC-EPIC-08","Mobile seller companion app","iOS/Android app for field sales reps to create quotes, capture signatures, and check inventory in offline-first mode.","Epic","High","Done","Done","horizon-commerce","agentos-demo","epic-08","Mobile","API","","Marcus Webb","22/01/25 10:00"
"HC-001","Self-serve merchant onboarding & kyc verification wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Sarah Chen","23/01/25 10:00"
"HC-002","Webhook notifications for merchant onboarding & kyc verification status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Marcus Webb","24/01/25 10:00"
"HC-003","Role-based access for merchant onboarding & kyc verification admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Priya Nair","25/01/25 10:00"
"HC-004","Export merchant onboarding & kyc verification data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","James Okafor","26/01/25 10:00"
"HC-005","Search and filter merchant onboarding & kyc verification records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Elena Vasquez","27/01/25 10:00"
"HC-006","Self-serve merchant onboarding & kyc verification wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Tom Bradley","28/01/25 10:00"
"HC-007","Webhook notifications for merchant onboarding & kyc verification status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Sarah Chen","29/01/25 10:00"
"HC-008","Role-based access for merchant onboarding & kyc verification admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Resolved","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Marcus Webb","30/01/25 10:00"
"HC-009","Export merchant onboarding & kyc verification data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","Medium","Resolved","Done","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Priya Nair","31/01/25 10:00"
"HC-010","Search and filter merchant onboarding & kyc verification records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","High","In Progress","","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","James Okafor","01/02/25 10:00"
"HC-011","Self-serve merchant onboarding & kyc verification wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","In Progress","","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Elena Vasquez","02/02/25 10:00"
"HC-012","Webhook notifications for merchant onboarding & kyc verification status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","To Do","","horizon-commerce","agentos-demo","epic-01","Frontend","Backend","HC-EPIC-01","Tom Bradley","03/02/25 10:00"
"HC-013","Duplicate charge when user double-clicks Pay button","*Steps to reproduce*
1. Open checkout with $250 cart
2. Click Pay twice within 500ms on slow 3G
3. Observe bank statement

*Expected*
Single authorization hold

*Actual*
Two identical charges posted

*Environment*
Production, Chrome 122, checkout v3.2.1

*Business impact*
High — direct revenue and trust impact; 14 merchant escalations this week","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-01","Frontend","Security","HC-EPIC-01","Priya Nair","04/02/25 10:00"
"HC-014","Webhook signature validation fails for payloads over 64KB","*Steps to reproduce*
1. Send order.updated webhook with 200 line items
2. Verify signature with official SDK

*Expected*
Signature validates

*Actual*
401 Invalid signature despite correct secret

*Environment*
Sandbox API, Node SDK 2.4.0

*Business impact*
Medium — large B2B orders fail ERP sync","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-01","Frontend","Security","HC-EPIC-01","James Okafor","05/02/25 10:00"
"HC-015","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-01","Frontend","Security","HC-EPIC-01","Elena Vasquez","06/02/25 10:00"
"HC-016","Upgrade payment processor SDK to latest PCI-compliant version (Merchant)","*Goal*
Remove deprecated TLS 1.0 paths before processor cutoff date.

*Deliverables*
- Bump stripe-node / equivalent to supported version
- Run integration test suite in staging
- Update runbook for rollback

*Notes*
Processor deadline: end of Q1. Coordinate with finance for test transactions.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-01","Backend","DevOps","HC-EPIC-01","Elena Vasquez","07/02/25 10:00"
"HC-017","Add database indexes for order search queries (Merchant)","*Goal*
Reduce p95 admin search latency from 4.2s to under 1s.

*Deliverables*
- EXPLAIN ANALYZE on top 5 slow queries
- Migration for composite index on (merchant_id, created_at, status)
- Validate on staging copy with 2M rows

*Notes*
Use CONCURRENTLY in production migration window.","Task","Medium","In Progress","","horizon-commerce","agentos-demo","epic-01","Backend","DevOps","HC-EPIC-01","Tom Bradley","08/02/25 10:00"
"HC-018","Self-serve checkout, payments & settlement wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","Marcus Webb","09/02/25 10:00"
"HC-019","Webhook notifications for checkout, payments & settlement status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","Priya Nair","10/02/25 10:00"
"HC-020","Role-based access for checkout, payments & settlement admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","James Okafor","11/02/25 10:00"
"HC-021","Export checkout, payments & settlement data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","Elena Vasquez","12/02/25 10:00"
"HC-022","Search and filter checkout, payments & settlement records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","Tom Bradley","13/02/25 10:00"
"HC-023","Self-serve checkout, payments & settlement wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-02","Payments","Backend","HC-EPIC-02","Sarah Chen","14/02/25 10:00"
"HC-024","Webhook signature validation fails for payloads over 64KB","*Steps to reproduce*
1. Send order.updated webhook with 200 line items
2. Verify signature with official SDK

*Expected*
Signature validates

*Actual*
401 Invalid signature despite correct secret

*Environment*
Sandbox API, Node SDK 2.4.0

*Business impact*
Medium — large B2B orders fail ERP sync","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-02","Payments","Security","HC-EPIC-02","James Okafor","15/02/25 10:00"
"HC-025","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-02","Payments","Security","HC-EPIC-02","Elena Vasquez","16/02/25 10:00"
"HC-026","Mobile app crashes on offline catalog sync resume","*Steps to reproduce*
1. Login as field rep on iOS 17
2. Start catalog sync, enable airplane mode mid-sync
3. Disable airplane mode after 2 minutes

*Expected*
Sync resumes from last checkpoint

*Actual*
App crashes to home screen; logs show SQLite locked

*Environment*
iOS app 4.1.0 build 412

*Business impact*
High — field sales blocked in low-connectivity regions","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-02","Payments","Security","HC-EPIC-02","Tom Bradley","17/02/25 10:00"
"HC-027","Add database indexes for order search queries (Checkout,)","*Goal*
Reduce p95 admin search latency from 4.2s to under 1s.

*Deliverables*
- EXPLAIN ANALYZE on top 5 slow queries
- Migration for composite index on (merchant_id, created_at, status)
- Validate on staging copy with 2M rows

*Notes*
Use CONCURRENTLY in production migration window.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-02","Backend","DevOps","HC-EPIC-02","Tom Bradley","18/02/25 10:00"
"HC-028","Self-serve order management & fulfillment wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","Priya Nair","19/02/25 10:00"
"HC-029","Webhook notifications for order management & fulfillment status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","James Okafor","20/02/25 10:00"
"HC-030","Role-based access for order management & fulfillment admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","Elena Vasquez","21/02/25 10:00"
"HC-031","Export order management & fulfillment data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","Tom Bradley","22/02/25 10:00"
"HC-032","Search and filter order management & fulfillment records in admin UI","*User story*
As a support agent, I want full-text search with filters on status and date so that I resolve merchant tickets faster.

*Background*
Support avg handle time is 18 min; search latency is a top complaint.

*Acceptance criteria*
1. Given 100k records, when I search by email fragment, then results return under 2 seconds.
2. Given active filters, when I share URL, then colleague sees same filtered view.
3. Given PII fields, when results render, then only last4 of card is visible to support role.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","Sarah Chen","23/02/25 10:00"
"HC-033","Self-serve order management & fulfillment wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-03","Backend","API","HC-EPIC-03","Marcus Webb","24/02/25 10:00"
"HC-034","Timezone mislabels settlement date in analytics chart","*Steps to reproduce*
1. Set merchant timezone to America/Chicago
2. View GMV chart for Jan 31 cross-midnight UTC

*Expected*
Bars align to merchant local day boundaries

*Actual*
Jan 31 GMV split incorrectly across Feb 1

*Environment*
Dashboard v1.8, Postgres rollup job

*Business impact*
Medium — finance reports disagree with processor statements","Bug","High","To Do","","horizon-commerce","agentos-demo","epic-03","Backend","Security","HC-EPIC-03","Elena Vasquez","25/02/25 10:00"
"HC-035","Mobile app crashes on offline catalog sync resume","*Steps to reproduce*
1. Login as field rep on iOS 17
2. Start catalog sync, enable airplane mode mid-sync
3. Disable airplane mode after 2 minutes

*Expected*
Sync resumes from last checkpoint

*Actual*
App crashes to home screen; logs show SQLite locked

*Environment*
iOS app 4.1.0 build 412

*Business impact*
High — field sales blocked in low-connectivity regions","Bug","Medium","Resolved","Fixed","horizon-commerce","agentos-demo","epic-03","Backend","Security","HC-EPIC-03","Tom Bradley","26/02/25 10:00"
"HC-036","API rate limit headers missing on 429 responses","*Steps to reproduce*
1. Exceed 100 req/min on /v1/orders
2. Inspect response headers

*Expected*
Retry-After and X-RateLimit-Reset present

*Actual*
429 body only; integrators cannot backoff correctly

*Environment*
Production API gateway

*Business impact*
Low — developer experience; causes retry storms","Bug","High","Resolved","Fixed","horizon-commerce","agentos-demo","epic-03","Backend","Security","HC-EPIC-03","Sarah Chen","27/02/25 10:00"
"HC-037","Document public API error code catalog (Order)","*Goal*
Publish stable error codes for integrators with remediation hints.

*Deliverables*
- Markdown reference in developer portal
- OpenAPI examples for 4xx/5xx
- Changelog entry for support team

*Notes*
Align codes with existing internal enum payment_errors.","Task","Medium","Done","Done","horizon-commerce","agentos-demo","epic-03","API","DevOps","HC-EPIC-03","Sarah Chen","28/02/25 10:00"
"HC-038","Upgrade payment processor SDK to latest PCI-compliant version (Order)","*Goal*
Remove deprecated TLS 1.0 paths before processor cutoff date.

*Deliverables*
- Bump stripe-node / equivalent to supported version
- Run integration test suite in staging
- Update runbook for rollback

*Notes*
Processor deadline: end of Q1. Coordinate with finance for test transactions.","Task","Medium","In Progress","","horizon-commerce","agentos-demo","epic-03","API","DevOps","HC-EPIC-03","Marcus Webb","01/03/25 10:00"
"HC-039","Self-serve catalog, inventory & pricing wizard for new merchants","*User story*
As a merchant admin, I want a guided onboarding wizard with save-and-resume so that I can complete KYC without support calls.

*Background*
Current onboarding drops off at document upload. Merchants abandon when session expires.

*Acceptance criteria*
1. Given I am a new merchant, when I start onboarding, then I see a 4-step progress indicator.
2. Given I upload a PDF over 10MB, when validation runs, then I see a clear size error before submit.
3. Given I leave mid-flow, when I return within 7 days, then my draft is restored.

*Technical notes*
- Store draft state in merchant_onboarding_sessions table
- Use presigned S3 URLs for document upload","Story","Highest","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","HC-EPIC-04","James Okafor","02/03/25 10:00"
"HC-040","Webhook notifications for catalog, inventory & pricing status changes","*User story*
As a integration engineer, I want webhooks when key state transitions occur so that downstream ERP systems stay in sync without polling.

*Background*
Enterprise merchants require near-real-time updates for order and payment events.

*Acceptance criteria*
1. Given a registered webhook URL, when payment succeeds, then a signed POST is delivered within 30s.
2. Given delivery fails 3 times, when retries exhaust, then the event appears in a dead-letter queue UI.
3. Given I rotate the signing secret, when I save, then old secret works for 24h grace period.

*Technical notes*
- HMAC-SHA256 signature header X-Horizon-Signature
- Exponential backoff max 15 min","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","HC-EPIC-04","Elena Vasquez","03/03/25 10:00"
"HC-041","Role-based access for catalog, inventory & pricing admin actions","*User story*
As a org owner, I want to assign viewer, editor, and billing roles so that least-privilege access across my team.

*Background*
SOC2 audit flagged shared admin credentials at 12 merchant accounts.

*Acceptance criteria*
1. Given I am org owner, when I invite a user as Viewer, then they cannot refund payments.
2. Given a user is Editor, when they attempt API key creation, then action is denied.
3. Given role change, when saved, then audit log records actor, target, and timestamp.","Story","Medium","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","HC-EPIC-04","Tom Bradley","04/03/25 10:00"
"HC-042","Export catalog, inventory & pricing data to CSV with date filters","*User story*
As a finance analyst, I want scheduled CSV exports of transactions so that month-end close does not require manual dashboard clicks.

*Background*
Finance teams reconcile in NetSuite; manual exports take 2+ hours weekly.

*Acceptance criteria*
1. Given a date range, when I export, then CSV includes id, amount, fee, status, and settlement date.
2. Given I schedule weekly export, when Monday 6am UTC hits, then email contains secure download link expiring in 72h.
3. Given no rows match filter, when export runs, then I receive empty CSV with headers only.","Story","High","Done","Done","horizon-commerce","agentos-demo","epic-04","Backend","Data","HC-EPIC-04","Sarah Chen","05/03/25 10:00"
